-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 01/01/2026 in LST
Location: Latitude  39.93   Longitude 32.857 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1128.1 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLOUD_AMT             CERES SYN1deg Cloud Amount (%) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
SZA                   CERES SYN1deg Solar Zenith Angle (Degrees) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,CLOUD_AMT,ALLSKY_SFC_SW_DWN,SZA,T2M,RH2M,PS,WS10M
2021,1,1,0,24.89,0.0,90.0,-1.36,96.14,88.94,2.74
2021,1,1,1,32.41,0.0,90.0,-1.63,96.49,88.96,2.67
2021,1,1,2,41.29,0.0,90.0,-1.53,94.36,88.96,2.49
2021,1,1,3,34.26,0.0,90.0,-1.54,93.91,88.96,2.36
2021,1,1,4,10.09,0.0,90.0,-1.57,94.66,88.95,2.25
2021,1,1,5,1.56,0.0,90.0,-1.69,96.43,88.96,2.22
2021,1,1,6,11.71,0.0,90.0,-1.96,100.0,88.99,2.29
2021,1,1,7,10.65,23.4,87.31,-1.57,100.0,89.03,2.26
2021,1,1,8,10.34,157.8,78.55,1.47,87.41,89.06,2.94
2021,1,1,9,9.79,301.85,71.0,3.51,81.4,89.07,3.04
2021,1,1,10,9.29,408.35,65.57,6.87,68.15,89.08,4.42
2021,1,1,11,8.36,458.42,62.84,8.89,57.0,89.07,5.45
2021,1,1,12,16.58,448.8,63.16,9.56,52.08,89.04,5.64
2021,1,1,13,23.59,373.62,66.5,9.69,50.68,89.03,5.41
2021,1,1,14,24.14,261.38,72.43,9.32,51.85,89.06,4.9
2021,1,1,15,30.89,116.12,80.35,7.04,66.09,89.09,2.81
2021,1,1,16,44.38,9.5,88.6,3.55,78.69,89.12,2.68
2021,1,1,17,51.57,0.0,90.0,2.75,81.97,89.16,2.61
2021,1,1,18,71.87,0.0,90.0,2.28,84.99,89.19,2.59
2021,1,1,19,85.96,0.0,90.0,1.91,87.08,89.21,2.58
2021,1,1,20,80.49,0.0,90.0,1.6,88.63,89.22,2.59
2021,1,1,21,92.96,0.0,90.0,1.26,90.62,89.23,2.65
2021,1,1,22,71.22,0.0,90.0,1.06,92.17,89.25,2.69
2021,1,1,23,78.95,0.0,90.0,0.84,93.88,89.26,2.57
2021,1,2,0,90.67,0.0,90.0,0.82,94.26,89.28,2.28
2021,1,2,1,90.66,0.0,90.0,1.04,92.81,89.32,1.95
2021,1,2,2,83.82,0.0,90.0,1.24,91.3,89.35,1.68
2021,1,2,3,91.42,0.0,90.0,1.3,90.92,89.37,1.56
2021,1,2,4,72.68,0.0,90.0,1.2,91.59,89.38,1.62
2021,1,2,5,48.45,0.0,90.0,1.17,91.82,89.41,1.66
2021,1,2,6,14.87,0.0,90.0,1.29,91.29,89.46,1.5
2021,1,2,7,11.0,22.2,87.32,1.7,88.89,89.5,1.24
2021,1,2,8,4.83,155.5,78.54,3.58,80.7,89.53,0.91
2021,1,2,9,3.75,297.98,70.97,5.78,69.51,89.54,0.36
2021,1,2,10,0.05,406.52,65.52,8.87,56.0,89.54,0.95
2021,1,2,11,0.53,468.0,62.76,9.98,51.25,89.52,1.67
2021,1,2,12,3.97,459.77,63.06,10.34,49.56,89.48,1.8
2021,1,2,13,13.03,382.05,66.38,10.25,49.39,89.47,1.61
2021,1,2,14,9.37,277.83,72.29,9.76,50.82,89.49,1.19
2021,1,2,15,6.43,135.18,80.21,8.65,59.89,89.52,0.57
2021,1,2,16,4.57,12.15,88.53,7.29,59.99,89.56,0.2
2021,1,2,17,3.62,0.0,90.0,6.32,61.89,89.58,0.55
2021,1,2,18,2.68,0.0,90.0,5.07,67.03,89.61,1.24
2021,1,2,19,1.73,0.0,90.0,3.88,72.68,89.61,1.81
2021,1,2,20,0.78,0.0,90.0,2.82,78.33,89.6,2.1
2021,1,2,21,0.85,0.0,90.0,1.99,82.87,89.57,2.24
2021,1,2,22,2.97,0.0,90.0,1.25,87.36,89.55,2.34
2021,1,2,23,1.98,0.0,90.0,0.8,90.02,89.54,2.26
2021,1,3,0,0.99,0.0,90.0,0.45,92.33,89.54,2.13
2021,1,3,1,0.0,0.0,90.0,-0.07,95.75,89.58,2.17
2021,1,3,2,1.17,0.0,90.0,-0.86,100.0,89.58,2.49
2021,1,3,3,2.34,0.0,90.0,-1.58,100.0,89.56,2.83
2021,1,3,4,18.2,0.0,90.0,-2.06,100.0,89.53,3.03
2021,1,3,5,15.88,0.0,90.0,-2.37,100.0,89.55,3.02
